iter	Passed	Remaining
0	133	53127
1	135	27024
2	138	18372
3	139	13823
4	142	11250
5	145	9582
6	149	8377
7	152	7457
8	155	6751
9	158	6180
10	161	5713
11	164	5304
12	166	4965
13	167	4621
14	169	4358
15	172	4132
16	172	3895
17	175	3731
18	179	3591
19	180	3423
20	182	3292
21	184	3175
22	187	3071
23	190	2989
24	194	2919
25	197	2835
26	199	2758
27	202	2688
28	205	2622
29	208	2566
30	210	2507
31	211	2436
32	214	2380
33	216	2332
34	217	2268
35	220	2225
36	222	2185
37	223	2132
38	226	2098
39	229	2063
40	231	2030
41	234	1997
42	235	1953
43	237	1921
44	240	1897
45	242	1868
46	245	1840
47	247	1814
48	250	1791
49	252	1765
50	254	1741
51	257	1723
52	259	1701
53	262	1680
54	264	1658
55	266	1637
56	268	1616
57	270	1594
58	273	1577
59	275	1560
60	277	1542
61	279	1525
62	282	1509
63	284	1493
64	286	1479
65	289	1465
66	292	1453
67	294	1438
68	297	1425
69	299	1412
70	302	1399
71	305	1391
72	306	1373
73	308	1360
74	311	1348
75	313	1336
76	315	1325
77	316	1307
78	319	1296
79	321	1287
80	324	1278
81	327	1269
82	329	1259
83	332	1249
84	334	1239
85	337	1231
86	338	1216
87	340	1206
88	342	1197
89	345	1189
90	347	1179
91	348	1165
92	350	1157
93	353	1149
94	355	1142
95	358	1133
96	360	1127
97	362	1118
98	365	1109
99	367	1102
100	370	1095
101	372	1087
102	373	1077
103	375	1069
104	378	1063
105	381	1057
106	382	1046
107	384	1038
108	387	1033
109	389	1027
110	391	1020
111	394	1013
112	394	1002
113	397	996
114	398	987
115	400	981
116	404	977
117	407	972
118	409	967
119	413	963
120	416	959
121	420	957
122	422	952
123	425	947
124	428	943
125	430	935
126	432	929
127	436	926
128	438	921
129	441	917
130	443	911
131	444	903
132	447	897
133	450	894
134	453	889
135	456	885
136	458	880
137	461	876
138	464	871
139	467	868
140	469	861
141	471	857
142	474	853
143	478	850
144	481	846
145	484	843
146	487	838
147	490	834
148	493	831
149	496	827
150	500	824
151	503	821
152	507	818
153	510	815
154	514	814
155	518	810
156	518	803
157	521	799
158	524	795
159	528	793
160	532	790
161	535	786
162	538	783
163	542	780
164	545	776
165	548	773
166	551	769
167	554	766
168	558	763
169	562	760
170	565	757
171	569	755
172	572	751
173	577	749
174	580	746
175	583	742
176	586	739
177	589	735
178	593	733
179	597	729
180	600	726
181	603	723
182	607	720
183	610	716
184	613	713
185	617	710
186	621	707
187	627	707
188	630	703
189	633	700
190	637	697
191	640	694
192	644	690
193	647	687
194	650	684
195	654	681
196	658	678
197	661	674
198	665	671
199	668	668
200	672	666
201	676	662
202	680	660
203	683	657
204	687	654
205	691	651
206	694	647
207	705	650
208	708	647
209	711	643
210	715	640
211	719	637
212	723	635
213	727	632
214	731	629
215	735	626
216	738	622
217	739	617
218	743	614
219	746	611
220	750	608
221	754	604
222	757	601
223	761	598
224	765	595
225	769	592
226	772	588
227	776	585
228	780	582
229	783	578
230	786	575
231	789	571
232	793	568
233	797	565
234	801	562
235	804	559
236	807	555
237	811	552
238	815	549
239	818	545
240	822	542
241	826	539
242	830	536
243	833	533
244	837	530
245	841	526
246	845	523
247	848	520
248	852	517
249	856	513
250	860	510
251	864	507
252	868	504
253	871	501
254	876	498
255	880	495
256	883	491
257	886	488
258	890	484
259	893	481
260	897	477
261	900	474
262	903	470
263	907	467
264	909	463
265	912	459
266	916	456
267	919	452
268	926	451
269	930	447
270	933	444
271	938	441
272	943	438
273	947	435
274	951	432
275	955	429
276	959	426
277	963	422
278	968	419
279	972	416
280	974	412
281	978	409
282	980	405
283	983	401
284	987	398
285	990	394
286	992	390
287	995	387
288	997	383
289	998	378
290	1000	374
291	1003	370
292	1005	367
293	1007	363
294	1009	359
295	1012	355
296	1014	351
297	1017	348
298	1020	344
299	1021	340
300	1023	336
301	1024	332
302	1026	328
303	1029	324
304	1031	321
305	1034	317
306	1034	313
307	1036	309
308	1039	306
309	1041	302
310	1043	298
311	1045	294
312	1047	291
313	1049	287
314	1051	283
315	1054	280
316	1056	276
317	1059	273
318	1062	269
319	1064	266
320	1067	262
321	1070	259
322	1072	255
323	1075	252
324	1079	249
325	1082	245
326	1084	242
327	1086	238
328	1089	235
329	1091	231
330	1093	228
331	1096	224
332	1099	221
333	1101	217
334	1103	214
335	1105	210
336	1108	207
337	1110	203
338	1114	200
339	1117	197
340	1120	193
341	1122	190
342	1124	186
343	1127	183
344	1130	180
345	1132	176
346	1135	173
347	1138	170
348	1140	166
349	1142	163
350	1145	159
351	1148	156
352	1150	153
353	1153	149
354	1155	146
355	1157	143
356	1160	139
357	1162	136
358	1165	133
359	1167	129
360	1169	126
361	1171	123
362	1174	119
363	1176	116
364	1179	113
365	1181	109
366	1183	106
367	1186	103
368	1188	99
369	1191	96
370	1194	93
371	1196	90
372	1199	86
373	1201	83
374	1204	80
375	1206	77
376	1209	73
377	1212	70
378	1215	67
379	1217	64
380	1219	60
381	1222	57
382	1224	54
383	1227	51
384	1230	47
385	1233	44
386	1236	41
387	1238	38
388	1241	35
389	1244	31
390	1247	28
391	1250	25
392	1253	22
393	1256	19
394	1259	15
395	1262	12
396	1265	9
397	1268	6
398	1271	3
399	1274	0
